Country,Region,EPI,Population_2022,GDP_PC,GHS_Index,Life_Expectancy,Air,Water,Ecosystem,Climate,Env_Health,BHI,Biocapacity_PC,FC_PC
Afghanistan,Southern Asia,43.6,41128771,489.1013477,28.8,62.879,15.5,28.1,36.9,65.6,16,41.9,0.37,0.003160804
Albania,Eastern Europe,47.1,2842321,6424.342465,45,76.833,37.5,54.1,45.5,52.5,40,34.8,0.99,0.009499279
Algeria,Greater Middle East,29.6,44903225,3741.003942,26.2,77.129,39.4,53.3,31.6,20.9,42,59.7,0.5,0.009531609
Angola,Sub-Saharan Africa,30.5,35588987,2038.467285,29.1,61.929,23.1,12.8,28.6,37.7,20.5,40.2,1.87,0.003989998
Antigua and Barbuda,Latin America & Caribbean,52.4,98728,14900.7974,30,79.236,56.5,50.1,43.6,60.2,55.8,34,0.83,0.00168814
Argentina,Latin America & Caribbean,41.1,45510318,10799.58836,54.4,76.064,52,64.8,38.9,35.5,56.3,43.2,6.58,0.01764435
Armenia,Former Soviet States,48.3,2780469,4985.196337,61.8,73.372,32.1,57.3,58.1,41.4,40.7,43,0.63,0.002877212
Australia,Global West,60.1,26177413,58930.95318,71.1,83.579,91.1,87.1,62.3,43.8,86.4,56.4,12.64,0.001400699
Austria,Global West,69.4,8939617,53367.21556,56.9,82.412,75,94.7,73.9,50.3,81.7,64,2.73,0.000997433
Azerbaijan,Former Soviet States,38.6,10358074,5273.391218,34.7,73.488,22.1,45.6,44.4,36.4,30.7,29.2,0.74,0.009750848
Bahamas,Latin America & Caribbean,62.8,409984,27339.11567,30.1,78.654,54.5,55,52.1,61.8,54,55.2,9.06,0.001951296
Bahrain,Greater Middle East,52,1472233,26401.16275,36.6,79.246,34.7,56.6,42.3,39.9,45.3,69.7,0.48,0.039395938
Bangladesh,Southern Asia,23.1,171186372,2431.647672,35.5,73.698,14.4,27.4,29.4,18.8,18.1,26.5,0.4,0.00262505
Barbados,Latin America & Caribbean,53.2,287708,17033.93719,34.9,77.706,65.3,52,24.9,79.9,61.8,58.8,0.17,0.001390299
Belarus,Former Soviet States,48.5,9534954,7154.603628,43.9,73.246,46.1,60.5,55.4,39.6,51.1,42,3.09,0.018038891
Belgium,Global West,58.2,11655930,51465.5652,59.3,82.293,74.6,93.6,57.9,48.1,77.9,34.1,0.82,0.001894315
Belize,Latin America & Caribbean,50,405272,4416.597406,29.7,70.962,37.6,42.7,57.8,47.1,39,50.4,3.76,0.009129671
Benin,Sub-Saharan Africa,29.6,13352864,1331.971933,25.4,59.954,22.3,13.5,36.2,26.2,22.2,38.8,0.89,0.003295173
Bhutan,Southern Asia,42.5,782455,2959.194207,39.8,72.229,19.6,31.2,54.9,36.8,27.2,48.4,4.9,0.003834086
Bolivia,Latin America & Caribbean,40.1,12224110,3305.615585,29.9,64.928,30,40.1,52.9,28.3,35.8,57.6,15.49,0.007000919
Bosnia and Herzegovina,Eastern Europe,39.4,3233526,6980.464319,35.4,68.456,27.8,61.5,34.8,45.1,38,40.7,1.77,0.009587058
Botswana,Sub-Saharan Africa,54,2630296,6696.52635,33.6,65.913,17.1,20.9,61.4,63.1,21.3,57.2,3.02,0.008744263
Brazil,Latin America & Caribbean,43.6,215313498,7472.737361,51.2,73.425,44.9,46.2,55.2,29.6,46,54.2,8.61,0.014016771
Brunei ,Asia-Pacific,45.7,449002,31194.89351,43.5,74.551,61.7,85.7,38.6,41.7,68.1,56.9,2.75,0.001336297
