id,week,trip,price.0,price.KB,choice
1,96,1,0,1.43,0
2,14,1,0,1.43,0
2,25,2,0,1.43,0
2,26,3,0,1.43,0
2,31,4,0,1.43,KB
2,89,5,0,1.43,KB
2,94,6,0,0.9,0
2,96,7,0,1.43,0
2,114,8,0,1.43,0
2,126,9,0,1.43,0
2,146,10,0,1.47,0
3,1,1,0,1.43,0
3,2,2,0,1.43,0
3,4,3,0,1.43,0
3,5,4,0,1.43,0
3,15,5,0,1.43,0
3,18,6,0,0.88,KB
3,23,7,0,1.43,0
3,30,8,0,1.43,0
3,31,9,0,1.43,0
3,44,10,0,1.28,0
3,45,11,0,0.89,KB
3,84,12,0,1.43,0
3,97,13,0,1.43,0
3,105,14,0,1.43,0
3,117,15,0,1.43,0
3,126,16,0,1.43,0
3,132,17,0,1.47,0
3,137,18,0,1.47,0
3,138,19,0,1.47,0
3,139,20,0,1.47,0
3,145,21,0,1.47,0
3,146,22,0,1.47,0
3,150,23,0,1.42,0
3,152,24,0,1.47,0
4,98,1,0,1.41,0
4,110,2,0,1.43,0
4,114,3,0,1.43,0
4,138,4,0,1.47,0
5,18,1,0,0.88,KB
5,26,2,0,1.43,0
5,50,3,0,1.43,0
5,109,4,0,1.43,0
5,139,5,0,1.47,0
5,149,6,0,1.21,KB
6,112,1,0,0.88,0
6,151,2,0,1.47,0
7,12,1,0,1.43,0
7,20,2,0,1.43,0
7,27,3,0,1.43,0
7,29,4,0,0.9,KB
7,32,5,0,1.28,0
7,56,6,0,1.43,0
7,60,7,0,1.21,KB
7,62,8,0,1.43,0
7,67,9,0,1.43,0
7,71,10,0,1.21,KB
7,107,11,0,1.43,0
7,111,12,0,1.21,0
7,119,13,0,1.43,0
8,49,1,0,1.43,0
8,58,2,0,1.43,0
9,54,1,0,1.43,0
9,111,2,0,1.21,0
10,50,1,0,1.43,0
10,87,2,0,1.43,KB
10,116,3,0,1.43,0
10,122,4,0,1.43,0
10,136,5,0,1.47,KB
10,139,6,0,1.47,0
11,101,1,0,1.43,0
11,141,2,0,1.47,0
12,3,1,0,1.43,0
12,122,2,0,1.43,0
13,16,1,0,1.43,0
14,3,1,0,1.43,KB
14,65,2,0,1.43,0
14,74,3,0,1.43,0
14,78,4,0,1.43,0
14,81,5,0,1.43,KB
14,83,6,0,1.43,KB
14,87,7,0,1.43,0
14,97,8,0,1.43,0
14,99,9,0,1.43,0
14,103,10,0,1.43,0
14,107,11,0,1.43,0
14,109,12,0,1.43,0
14,112,13,0,0.88,KB
14,115,14,0,1.43,0
14,122,15,0,1.43,0
14,125,16,0,1.43,0
14,129,17,0,0.88,KB
14,139,18,0,1.47,KB
14,140,19,0,1.47,0
14,142,20,0,1.47,0
14,146,21,0,1.47,0
15,8,1,0,1.43,0
15,11,2,0,1.43,0
15,142,3,0,1.47,0
15,143,4,0,1.47,0
15,149,5,0,1.21,0
15,150,6,0,1.42,0
15,153,7,0,1.47,0
16,11,1,0,1.43,0
16,13,2,0,1.43,0
16,17,3,0,1.28,0
16,24,4,0,1.43,0
16,28,5,0,1.43,KB
16,44,6,0,1.28,0
16,56,7,0,1.43,0
16,59,8,0,1.21,0
16,75,9,0,1.43,0
16,83,10,0,1.43,0
16,107,11,0,1.43,0
16,117,12,0,1.43,0
16,118,13,0,1.43,0
16,135,14,0,1.47,0
16,141,15,0,1.47,0
16,151,16,0,1.47,0
17,4,1,0,1.43,0
17,5,2,0,1.43,0
17,28,3,0,1.43,0
17,57,4,0,1.43,0
17,70,5,0,1.21,0
17,85,6,0,1.43,0
17,88,7,0,1.43,0
17,95,8,0,1.4,0
17,113,9,0,1.43,KB
17,114,10,0,1.43,0
17,122,11,0,1.43,0
17,123,12,0,1.43,0
17,131,13,0,1.47,0
17,132,14,0,1.47,0
17,152,15,0,1.47,0
17,154,16,0,1.47,0
18,19,1,0,1.43,0
19,4,1,0,1.43,0
19,5,2,0,1.43,0
19,8,3,0,1.43,0
19,10,4,0,0.88,0
19,15,5,0,1.43,KB
19,45,6,0,0.89,KB
19,59,7,0,1.21,0
19,63,8,0,1.43,KB
19,66,9,0,1.43,KB
19,70,10,0,1.21,0
19,78,11,0,1.43,0
19,79,12,0,1.43,KB
19,82,13,0,1.43,0
19,83,14,0,1.43,0
19,85,15,0,1.43,0
19,86,16,0,1.43,0
19,97,17,0,1.43,0
19,107,18,0,1.43,0
19,110,19,0,1.43,0
19,113,20,0,1.43,0
19,116,21,0,1.43,0
19,118,22,0,1.43,0
19,120,23,0,1.43,KB
19,124,24,0,1.43,0
19,140,25,0,1.47,0
20,112,1,0,0.88,KB
20,122,2,0,1.43,0
20,132,3,0,1.47,0
21,152,1,0,1.47,0
22,128,1,0,1.43,KB
23,25,1,0,1.43,0
23,29,2,0,0.9,KB
24,35,1,0,1.43,0
24,67,2,0,1.43,KB
24,83,3,0,1.43,0
24,100,4,0,1.43,0
25,18,1,0,0.88,0
25,33,2,0,0.93,0
25,35,3,0,1.43,0
25,40,4,0,1.43,0
26,103,1,0,1.43,0
27,122,1,0,1.43,0
28,45,1,0,0.89,KB
28,46,2,0,1.43,KB
28,47,3,0,0.98,0
28,49,4,0,1.43,KB
28,51,5,0,1.43,0
28,53,6,0,1.43,KB
28,56,7,0,1.43,0
28,58,8,0,1.43,0
28,61,9,0,1.21,KB
28,62,10,0,1.43,KB
28,63,11,0,1.43,0
28,66,12,0,1.43,KB
28,67,13,0,1.43,0
28,68,14,0,1.43,0
28,71,15,0,1.21,KB
28,72,16,0,1.43,0
28,73,17,0,1.43,0
28,76,18,0,1.43,0
28,77,19,0,1.43,0
28,78,20,0,1.43,0
28,81,21,0,1.43,0
28,82,22,0,1.43,0
28,85,23,0,1.43,0
28,86,24,0,1.43,0
28,87,25,0,1.43,0
28,88,26,0,1.43,0
28,89,27,0,1.43,0
28,91,28,0,1.43,KB
28,92,29,0,1.43,KB
28,93,30,0,1.43,KB
28,94,31,0,0.9,KB
28,95,32,0,1.4,0
28,96,33,0,1.43,0
28,97,34,0,1.43,0
28,98,35,0,1.41,0
28,100,36,0,1.43,0
28,101,37,0,1.43,0
28,102,38,0,1.43,0
28,103,39,0,1.43,0
28,104,40,0,1.43,KB
28,105,41,0,1.43,KB
28,106,42,0,1.43,KB
28,109,43,0,1.43,0
28,110,44,0,1.43,KB
28,112,45,0,0.88,KB
28,113,46,0,1.43,KB
28,114,47,0,1.43,0
28,117,48,0,1.43,0
28,119,49,0,1.43,0
28,121,50,0,1.43,0
28,122,51,0,1.43,0
28,123,52,0,1.43,0
28,127,53,0,1.43,0
28,128,54,0,1.43,0
28,130,55,0,1.43,0
28,131,56,0,1.47,0
28,132,57,0,1.47,0
28,133,58,0,1.47,0
28,134,59,0,1.47,KB
28,138,60,0,1.47,KB
28,139,61,0,1.47,0
28,140,62,0,1.47,0
28,141,63,0,1.47,0
28,142,64,0,1.47,0
28,143,65,0,1.47,0
28,144,66,0,1.47,0
28,145,67,0,1.47,KB
28,146,68,0,1.47,KB
28,147,69,0,1.47,0
28,149,70,0,1.21,0
28,150,71,0,1.42,0
28,152,72,0,1.47,0
28,154,73,0,1.47,0
29,87,1,0,1.43,0
29,107,2,0,1.43,0
29,110,3,0,1.43,0
29,117,4,0,1.43,0
29,137,5,0,1.47,0
29,150,6,0,1.42,0
29,152,7,0,1.47,0
30,6,1,0,1.43,0
31,37,1,0,1.43,0
31,42,2,0,1.43,0
31,61,3,0,1.21,0
31,62,4,0,1.43,0
31,67,5,0,1.43,0
31,71,6,0,1.21,0
31,75,7,0,1.43,0
31,83,8,0,1.43,0
31,85,9,0,1.43,0
31,94,10,0,0.9,0
31,97,11,0,1.43,0
31,107,12,0,1.43,0
31,112,13,0,0.88,0
31,113,14,0,1.43,0
31,114,15,0,1.43,0
31,123,16,0,1.43,0
31,129,17,0,0.88,0
31,132,18,0,1.47,0
31,152,19,0,1.47,0
31,155,20,0,1.47,0
32,94,1,0,0.9,0
33,52,1,0,1.43,0
33,66,2,0,1.43,0
33,68,3,0,1.43,0
